日期,摄像头编号,采集地点,当日采集任务,采集时长,家庭编号,,,,,,,,,,,,,,
2026年2月18日,39-d877,济宁,擦拭桌面小摆件,5.24,,,,,,,,,,,,,,,
2026年2月19日,102-4f53,河南,分拣乐高 / 积木零件,5.15,,,,,,,,,,,,,,,
2026年2月19日,50-1af8,河南,整理洗漱用品,5.01,,,,,,,,,,,,,,,
2026年2月19日,110-082c,河南,用抹布擦拭碗盘,7.06,,,,,,,,,,,,,,,
2026年2月19日,14-1ec0,济宁,穿鞋带,5.11,,,,,,,,,,,,,,,
2026年2月19日,67-f20e,济宁,整理零食、调料或玩具,5.07,,,,,,,,,,,,,,,
2026年2月19日,39-d877,济宁,折叠购物袋,5.08,,,,,,,,,,,,,,,
2026年2月20日,50-1af8,河南,分拣乐高 / 积木零件,5.03,,,,,,,,,,,,,,,
2026年2月20日,102-4f53,河南,整理鞋柜,2.5,,,,,,,,,,,,,,,
2026年2月20日,110-082c,河南,整理碗筷,3.04,,,,,,,,,,,,,,,
2026年2月20日,14-1ec0,济宁,整理名片 / 会员卡/银行卡,5.1,,,,,,,,,,,,,,,
2026年2月20日,67-f20e,济宁,折叠购物袋,5.07,,,,,,,,,,,,,,,
2026年2月21日,102-4f53,河南,整理鞋柜,2.23,,,,,,,,,,,,,,,
2026年2月21日,50-1af8,河南,用抹布擦拭碗盘,4.43,,,,,,,,,,,,,,,
2026年2月21日,14-1ec0,济宁,折叠购物袋,5.05,,,,,,,,,,,,,,,
2026年2月21日,67-f20e,济宁,整理名片 / 会员卡/银行卡,5.06,,,,,,,,,,,,,,,
2026年2月21日,39-d877,济宁,整理名片 / 会员卡/银行卡,5.2,,,,,,,,,,,,,,,
2026年2月22日,14-1ec0,济宁,整理洗漱用品,5.09,,,,,,,,,,,,,,,
2026年2月22日,67-f20e,济宁,整理碗筷,5.04,,,,,,,,,,,,,,,
2026年2月22日,39-d877,济宁,整理零食、调料或玩具,5.17,,,,,,,,,,,,,,,
2026年2月23日,102-4f53,河南,整理名片 / 会员卡/银行卡,2.03,,,,,,,,,,,,,,,
2026年2月23日,14-1ec0,济宁,整理碗筷,5.07,,,,,,,,,,,,,,,
2026年2月23日,67-f20e,济宁,整理洗漱用品,5.05,,,,,,,,,,,,,,,
2026年2月24日,102-4f53,河南,书本收纳,2.57,,,,,,,,,,,,,,,
2026年2月24日,50-1af8,河南,整理名片 / 会员卡/银行卡,6.04,,,,,,,,,,,,,,,
2026年2月24日,110-082c,河南,书本收纳,5.13,,,,,,,,,,,,,,,
2026年2月24日,39-d877,济宁,分拣豆子,5.07,,,,,,,,,,,,,,,
2026年2月24日,14-1ec0,济宁,分拣豆子,5.03,,,,,,,,,,,,,,,
2026年2月25日,102-4f53,河南,书本收纳,,,,,,,,,,,,,,,,
2026年2月25日,50-1af8,河南,分拣晾晒衣物夹子,10.12,,整理书本,,,,,,,,,,,,,
2026年2月25日,110-082c,河南,分拣乐高 / 积木零件,7.15,,,,,,,,,,,,,,,
2026年2月25日,39-d877,济宁,药箱收纳,5.2,,,,,,,,,,,,,,,
2026年2月25日,14-1ec0,济宁,整理洗漱用品,5.1,,,,,,,,,,,,,,,
2026年2月26日,50-1af8,河南,整理零食、调料或玩具,5.06,,,,,,,,,,,,,,,
2026年2月26日,67-f20e,济宁,整理碗筷,5.1,,,,,,,,,,,,,,,
2026年2月26日,14-1ec0,济宁,整理碗筷,5.08,,,,,,,,,,,,,,,
2026年2月27日,50-1af8,河南,整理碗筷,10.41,,,,,,,,,,,,,,,
2026年2月27日,102-4f53,河南,分拣晾晒衣物夹子,5,,,,,,,,,,,,,,,
2026年2月27日,67-f20e,济宁,药箱收纳,5.1,,,,,,,,,,,,,,,
2026年2月27日,14-1ec0,济宁,整理数据线,5.05,,,,,,,,,,,,,,,
2026年2月27日,39-d877,济宁,整理数据线,5.07,,,,,,,,,,,,,,,
2026年2月27日,110-082c,河南,整理名片 / 会员卡/银行卡,6.5,,,,,,,,,,,,,,,
2026年2月28日,14-1ec0,济宁,收拾桌面,5.02,,,,,,,,,,,,,,,
2026年2月28日,39-d877,济宁,收拾桌面,5.04,,,,,,,,,,,,,,,
2026年2月28日,102-4f53,河南,收拾桌面,5.1,,,,,,,,,,,,,,,
2026年2月28日,50-1af8,河南,叠衣服,10.25,,整理数据线,,,,,,,,,,,,,
2026年2月28日,110-082c,河南,整理文件,5.11,,,,,,,,,,,,,,,
2026年3月1日,102-4f53,河南,整理洗漱用品,5.16,,,,,,,,,,,,,,,
2026年3月1日,50-1af8,河南,叠衣服,,,,,,,,,,,,,,,,
2026年3月1日,110-082c,河南,分拣晾晒衣物夹子,6.13,,,,,,,,,,,,,,,
2026年3月1日,67-f20e,济宁,整理数据线,5.09,,,,,,,,,,,,,,,
2026年3月1日,14-1ec0,济宁,分拣乐高 / 积木零件,5.03,,,,,,,,,,,,,,,
2026年3月1日,39-d877,济宁,电池安装,5.01,,,,,,,,,,,,,,,
2026年3月2日,102-4f53,河南,整理洗漱用品,,,,,,,,,,,,,,,,
2026年3月2日,50-1af8,河南,收拾桌面,,,,,,,,,,,,,,,,
2026年3月2日,110-082c,河南,整理零食、调料或玩具,5.4,,,,,,,,,,,,,,,
2026年3月2日,67-f20e,济宁,电池安装,5.05,,,,,,,,,,,,,,,
2026年3月2日,14-1ec0,济宁,分拣晾晒衣物夹子,5.11,,,,,,,,,,,,,,,
2026年3月2日,39-d877,济宁,分拣晾晒衣物夹子,5.2,,,,,,,,,,,,,,,
2026年3月3日,67-f20e,济宁,分拣晾晒衣物夹子,5.06,,,,,,,,,,,,,,,
2026年3月3日,14-1ec0,济宁,分拣乐高 / 积木零件,5.03,,,,,,,,,,,,,,,
2026年3月3日,39-d877,济宁,用抹布擦拭碗盘,2.48,,,,,,,,,,,,,,,
2026年3月3日,110-082c,河南,收拾桌面,1.3,,,,,,,,,,,,,,,
2026年3月4日,67-f20e,济宁,分拣乐高 / 积木零件,5.03,,,,,,,,,,,,,,,
2026年3月5日,33aa,济宁,折叠购物袋,5.05,,,,,,,,,,,,,,,
2026年3月5日,d020,济宁,分拣豆子,5.03,,,,,,,,,,,,,,,
2026年3月5日,39-d877,济宁,整理鞋柜,5,,,,,,,,,,,,,,,
2026年3月6日,d020,济宁,书本收纳,5.07,,,,,,,,,,,,,,,
2026年3月6日,33aa,济宁,叠衣服,5.01,,,,,,,,,,,,,,,
2026年3月7日,d020,济宁,分拣乐高 / 积木零件,5.12,,,,,,,,,,,,,,,
2026年3月7日,33aa,济宁,整理碗筷,5.03,,,,,,,,,,,,,,,
2026年3月7日,af7f,济宁,叠袜子,5.04,,,,,,,,,,,,,,,
2026年3月7日,39-d877,济宁,清洁手机,5.11,,,,,,,,,,,,,,,
2026年3月8日,d020,济宁,叠袜子,5.05,,,,,,,,,,,,,,,
2026年3月8日,39-d877,济宁,整理枕套,5,,,,,,,,,,,,,,,
2026年3月8日,14-1ec0,济宁,整理枕套,5.06,,,,,,,,,,,,,,,
2026年3月8日,14-1ec0,济宁,清洁手机,5.04,,,,,,,,,,,,,,,
2026/3/6,2台,河南,,,,,,,,,,,,,,,,,
2026/3/7,3台,河南,,,,,,,,,,,,,,,,,
2026年3月9日,d020,济宁,药箱收纳,5.02,,,,,,,,,,,,,,,
2026年3月9日,67-f20e,济宁,清洁手机,5.02,,,,,,,,,,,,,,,
2026年3月9日,39-d877,济宁,更换垃圾袋,5,,,,,,,,,,,,,,,
2026年3月9日,af7f,济宁,擦拭桌面小摆件,5.11,,,,,,,,,,,,,,,
2026年3月9日,14-1ec0,济宁,整理化妆品小样,5 11,,,,,,,,,,,,,,,
2026年3月9日,50-1af8,河南,叠衣服,5 09,,,,,,,,,,,,,,,
2026年3月10日,67-f20e,济宁,更换枕套,5.06,,,,,,,,,,,,,,,
2026年3月10日,39-d877,济宁,整理化妆品小样,5,,,,,,,,,,,,,,,
2026年3月10日,d020,济宁,穿鞋带,5.16,,,,,,,,,,,,,,,
2026年3月10日,14-1ec0,济宁,整理抽屉,5.03,,,,,,,,,,,,,,,
2026年3月10日,af7f,济宁,分拣乐高 / 积木零件,5.07,,,,,,,,,,,,,,,
2026年3月10日,110-082c,河南,收拾桌面,,,,,,,,,,,,,,,,
2026年3月10日,50-1af8,河南,穿鞋带,5.07,,,,,,,,,,,,,,,
2026年3月11日,67-f20e,济宁,更换枕套,5.06,,,,,,,,,,,,,,,
2026年3月11日,39-d877,济宁,叠衣服,,超市,,,,,,,,,,,,,,
2026年3月11日,d020,济宁,擦拭桌面小摆件,5.03,,,,,,,,,,,,,,,
2026年3月11日,14-1ec0,济宁,更换垃圾袋,5.03,,,,,,,,,,,,,,,
2026年3月11日,af7f,济宁,书本收纳,5.08,,,,,,,,,,,,,,,
2026年3月11日,50-1af8,河南,分拣豆子,5.07,,,,,,,,,,,,,,,
2026年3月11日,110-082c,河南,叠衣服,5.05,三台设备在工作，有一台员工没反馈,,,,,,,,,,,,,,
2026年3月12日,67-f20e,济宁,整理化妆品小样,5.06,,,,,,,,,,,,,,,
2026年3月12日,39-d877,济宁,食品封袋,5,,,,,,,,,,,,,,,
2026年3月12日,d020,济宁,用抹布擦拭碗盘,5.05,,,,,,,,,,,,,,,
2026年3月12日,14-1ec0,济宁,食品封袋,5.04,,,,,,,,,,,,,,,
2026年3月12日,af7f,济宁,整理碗筷,5.01,,,,,,,,,,,,,,,
2026年3月12日,50-1af8,河南,折叠购物袋,5.07,,,,,,,,,,,,,,,
2026年3月13日,67-f20e,济宁,整理化妆品小样,5.04,,,,,,,,,,,,,,,
2026年3月13日,39-d877,济宁,更换补充液,5,,,,,,,,,,,,,,,
2026年3月13日,d020,济宁,叠衣服,5.08,,,,,,,,,,,,,,,
2026年3月13日,14-1ec0,济宁,更换补充液,5.04,,,,,,,,,,,,,,,
2026年3月13日,af7f,济宁,用抹布擦拭碗盘,5.04,,,,,,,,,,,,,,,
2026年3月14日,67-f20e,济宁,更换补充液,5.03,,,,,,,,,,,,,,,
2026年3月14日,39-d877,济宁,量取调料,5.01,,,,,,,,,,,,,,,
2026年3月14日,d020,济宁,分拣晾晒衣物夹子,5.04,,,,,,,,,,,,,,,
2026年3月14日,14-1ec0,济宁,量取调料,5.05,,,,,,,,,,,,,,,
2026年3月15日,67-f20e,济宁,整理鞋柜,5.06,,,,,,,,,,,,,,,
2026年3月15日,39-d877,济宁,拆卸玩具,5,,,,,,,,,,,,,,,
2026年3月15日,d020,济宁,电池安装,5.03,,,,,,,,,,,,,,,
2026年3月15日,39-d877,济宁,分拣豆子,4.42,,,,,,,,,,,,,,,
2026年3月13日,110-082c,河南,穿鞋带,5.03,,,,,,,,,,,,,,,
2026年3月15日,81-ee38,河南,整理名片 / 会员卡/银行卡,5.07,,,,,,,,,,,,,,,
